GENDER,AGE_GRP,VISIT_ORDER,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,DGSTFN,VISIT_AREA_NM,X_COORD,Y_COORD
0.0,60.0,4,1.0,5.0,2.0,2.0,2.0,2.0,4.0,몬스테라 자구리점,126.5671233,33.24433553
0.0,30.0,2,3.0,3.0,3.0,3.0,5.0,3.0,5.0,한라산영실휴게소,126.4967372,33.34849629
0.0,20.0,21,4.0,2.0,2.0,5.0,7.0,4.0,5.0,섭지코지,126.9306092,33.42393807
1.0,20.0,5,3.0,3.0,3.0,4.0,5.0,4.0,5.0,약천사,126.4494585,33.24623622
0.0,20.0,25,3.0,1.0,5.0,3.0,6.0,4.0,5.0,롯데마트 제주점,126.4818478,33.48243476
0.0,20.0,3,2.0,2.0,4.0,2.0,6.0,5.0,3.0,성산마씸,126.9349561,33.46611423
0.0,30.0,9,1.0,6.0,1.0,3.0,6.0,6.0,4.0,삿뽀로우동집 동홍점,126.5757313,33.25715753
1.0,40.0,5,2.0,2.0,3.0,3.0,2.0,6.0,4.0,백주산보,126.5947122,33.24394161
0.0,40.0,48,1.0,3.0,3.0,3.0,5.0,3.0,5.0,함덕해수욕장,126.6692389,33.54306157
1.0,30.0,3,2.0,2.0,2.0,2.0,6.0,7.0,4.0,애월카페거리,126.3091689,33.46258716
0.0,30.0,12,4.0,4.0,4.0,4.0,4.0,4.0,5.0,에이바우트커피 삼무공원점,126.4898965,33.49038053
1.0,40.0,4,4.0,2.0,6.0,2.0,2.0,1.0,3.0,제주올레여행자센터,126.558657,33.24738935
0.0,20.0,11,7.0,1.0,1.0,7.0,1.0,7.0,5.0,연미정,126.5119154,37.77094871
1.0,20.0,9,6.0,4.0,7.0,1.0,1.0,2.0,3.0,동문재래시장야시장,126.9126333,33.50365241
0.0,30.0,14,2.0,3.0,2.0,1.0,5.0,1.0,3.0,너븐숭이4.3기념관,126.6886562,33.54599701
0.0,20.0,9,5.0,5.0,1.0,3.0,5.0,6.0,3.0,아끈다랑쉬오름,126.830647,33.4741391
0.0,20.0,14,4.0,2.0,7.0,7.0,7.0,5.0,5.0,서귀포매일올레시장,126.5632316,33.25015006
1.0,30.0,34,4.0,3.0,5.0,5.0,5.0,6.0,4.0,국수나무 제주공항점,126.4959516,33.50593611
0.0,30.0,10,2.0,2.0,6.0,6.0,2.0,2.0,4.0,도토리키친 본점,126.5186043,33.51538651
0.0,30.0,15,2.0,2.0,4.0,2.0,3.0,4.0,5.0,흑돈시백돈면,126.3333375,33.28590342
1.0,40.0,10,4.0,4.0,4.0,5.0,2.0,4.0,4.0,이마트 서귀포점,126.5092014,33.2483545
1.0,20.0,16,1.0,1.0,4.0,1.0,4.0,7.0,4.0,성산일출봉농협하나로마트,126.9115453,33.44637972
