GENDER,AGE_GRP,VISIT_ORDER,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,DGSTFN,VISIT_AREA_NM
1.0,30.0,31,2.0,2.0,4.0,4.0,6.0,5.0,3.0,안덕산방도서관
1.0,30.0,7,2.0,4.0,1.0,3.0,5.0,2.0,5.0,"디아넥스 온천, 수영장"
1.0,20.0,12,4.0,1.0,5.0,5.0,3.0,6.0,3.0,해월정
1.0,20.0,14,1.0,1.0,4.0,1.0,7.0,6.0,5.0,문도지오름
1.0,30.0,38,3.0,4.0,5.0,6.0,2.0,5.0,5.0,스시마타네
1.0,20.0,16,2.0,2.0,5.0,2.0,2.0,3.0,4.0,그린마일커피 애월점
1.0,30.0,9,4.0,5.0,4.0,3.0,4.0,5.0,3.0,금능해수욕장
1.0,20.0,24,2.0,2.0,4.0,6.0,2.0,7.0,5.0,트레이닝 팜트리
1.0,20.0,24,2.0,1.0,4.0,2.0,5.0,5.0,3.0,카페코지
1.0,20.0,7,5.0,3.0,6.0,1.0,7.0,5.0,4.0,쉬멍해장국 중문점
1.0,30.0,9,2.0,2.0,3.0,2.0,1.0,7.0,5.0,전망좋은집흑돼지
0.0,20.0,15,2.0,2.0,1.0,1.0,4.0,6.0,5.0,보롬왓
1.0,20.0,9,5.0,2.0,4.0,3.0,6.0,5.0,5.0,카페곁에
1.0,50.0,5,2.0,1.0,2.0,2.0,2.0,2.0,3.0,서귀포매일올레시장
1.0,30.0,9,4.0,5.0,1.0,1.0,1.0,7.0,5.0,이중섭거리
1.0,20.0,22,2.0,1.0,5.0,2.0,4.0,5.0,5.0,쇠소깍모꼬지
1.0,20.0,9,2.0,1.0,4.0,2.0,2.0,4.0,5.0,황우지선녀탕
1.0,20.0,4,2.0,2.0,5.0,3.0,7.0,4.0,4.0,파도식당
0.0,50.0,2,1.0,1.0,1.0,1.0,4.0,4.0,4.0,남문주유소
0.0,40.0,30,1.0,1.0,1.0,1.0,1.0,4.0,4.0,천지연폭포
1.0,20.0,12,2.0,1.0,4.0,2.0,5.0,5.0,4.0,검멀레해변
0.0,20.0,7,6.0,2.0,7.0,3.0,1.0,4.0,2.0,부어스트라덴
0.0,40.0,34,1.0,7.0,7.0,7.0,7.0,7.0,3.0,아르떼뮤지엄 제주
1.0,20.0,15,1.0,1.0,4.0,1.0,4.0,7.0,4.0,성산일출봉
1.0,40.0,4,1.0,7.0,5.0,2.0,6.0,6.0,5.0,한라수목원
0.0,30.0,5,4.0,1.0,5.0,6.0,3.0,2.0,5.0,프렌즈스크린골프 인화
0.0,40.0,3,1.0,4.0,3.0,1.0,7.0,4.0,5.0,개월이오름
1.0,30.0,52,3.0,2.0,4.0,4.0,4.0,5.0,5.0,오설록티뮤지엄
1.0,30.0,2,2.0,2.0,6.0,5.0,3.0,5.0,4.0,양혜란식당
1.0,40.0,11,4.0,1.0,1.0,7.0,7.0,7.0,5.0,설빙 제주아라점
0.0,20.0,14,2.0,2.0,2.0,1.0,1.0,7.0,5.0,함덕그때그집
0.0,40.0,16,4.0,7.0,3.0,5.0,5.0,6.0,5.0,세븐일레븐 서귀포대정주공점
0.0,60.0,4,1.0,5.0,2.0,2.0,2.0,2.0,4.0,몬스테라 자구리점
0.0,30.0,2,3.0,3.0,3.0,3.0,5.0,3.0,5.0,한라산영실휴게소
0.0,20.0,21,4.0,2.0,2.0,5.0,7.0,4.0,5.0,섭지코지
1.0,20.0,5,3.0,3.0,3.0,4.0,5.0,4.0,5.0,약천사
0.0,20.0,25,3.0,1.0,5.0,3.0,6.0,4.0,5.0,롯데마트 제주점
0.0,20.0,3,2.0,2.0,4.0,2.0,6.0,5.0,3.0,성산마씸
0.0,30.0,9,1.0,6.0,1.0,3.0,6.0,6.0,4.0,삿뽀로우동집 동홍점
1.0,40.0,5,2.0,2.0,3.0,3.0,2.0,6.0,4.0,백주산보
0.0,40.0,48,1.0,3.0,3.0,3.0,5.0,3.0,5.0,함덕해수욕장
1.0,30.0,3,2.0,2.0,2.0,2.0,6.0,7.0,4.0,애월카페거리
0.0,30.0,12,4.0,4.0,4.0,4.0,4.0,4.0,5.0,에이바우트커피 삼무공원점
1.0,40.0,4,4.0,2.0,6.0,2.0,2.0,1.0,3.0,제주올레여행자센터
0.0,20.0,11,7.0,1.0,1.0,7.0,1.0,7.0,5.0,연미정
1.0,20.0,9,6.0,4.0,7.0,1.0,1.0,2.0,3.0,동문재래시장야시장
0.0,30.0,14,2.0,3.0,2.0,1.0,5.0,1.0,3.0,너븐숭이4.3기념관
0.0,20.0,9,5.0,5.0,1.0,3.0,5.0,6.0,3.0,아끈다랑쉬오름
0.0,20.0,14,4.0,2.0,7.0,7.0,7.0,5.0,5.0,서귀포매일올레시장
1.0,30.0,34,4.0,3.0,5.0,5.0,5.0,6.0,4.0,국수나무 제주공항점
0.0,30.0,10,2.0,2.0,6.0,6.0,2.0,2.0,4.0,도토리키친 본점
0.0,30.0,15,2.0,2.0,4.0,2.0,3.0,4.0,5.0,흑돈시백돈면
1.0,40.0,10,4.0,4.0,4.0,5.0,2.0,4.0,4.0,이마트 서귀포점
1.0,20.0,16,1.0,1.0,4.0,1.0,4.0,7.0,4.0,성산일출봉농협하나로마트
1.0,20.0,13,2.0,1.0,5.0,3.0,6.0,3.0,5.0,용연계곡
1.0,40.0,3,3.0,1.0,3.0,4.0,3.0,4.0,3.0,황우지선녀탕
0.0,20.0,13,4.0,1.0,6.0,5.0,1.0,2.0,2.0,서복전시관
0.0,20.0,14,4.0,4.0,2.0,4.0,4.0,4.0,5.0,중문색달해수욕장
1.0,20.0,13,1.0,7.0,1.0,1.0,7.0,1.0,4.0,김창민씨네식당
0.0,30.0,15,4.0,1.0,1.0,1.0,1.0,4.0,5.0,블랑로쉐
1.0,20.0,3,7.0,7.0,7.0,6.0,1.0,4.0,3.0,본태박물관
1.0,20.0,10,1.0,1.0,1.0,3.0,1.0,7.0,5.0,중앙전통시장
1.0,20.0,24,5.0,3.0,6.0,6.0,2.0,6.0,5.0,제주동문재래야시장
1.0,20.0,7,2.0,3.0,2.0,2.0,5.0,1.0,4.0,자매국수 본점
1.0,20.0,6,7.0,1.0,1.0,7.0,1.0,6.0,5.0,협재해수욕장
1.0,20.0,17,1.0,1.0,1.0,1.0,7.0,1.0,3.0,삼미횟집
0.0,20.0,11,4.0,2.0,7.0,7.0,7.0,5.0,5.0,뉴제주렌터카
0.0,20.0,29,6.0,7.0,2.0,4.0,7.0,1.0,3.0,지미스
0.0,20.0,11,2.0,1.0,6.0,2.0,7.0,5.0,5.0,돌담쉼팡
0.0,20.0,13,4.0,1.0,3.0,5.0,6.0,3.0,5.0,포도뮤지엄
1.0,20.0,6,2.0,1.0,7.0,4.0,5.0,5.0,5.0,올레길 17코스(광령-제주원도심 올레)
1.0,30.0,15,2.0,1.0,6.0,2.0,7.0,6.0,5.0,구좌읍세화 월정리그때그집
1.0,30.0,17,4.0,6.0,5.0,1.0,1.0,7.0,5.0,제주선채향
1.0,20.0,18,2.0,1.0,2.0,5.0,3.0,7.0,4.0,대복해장국
1.0,20.0,9,2.0,2.0,6.0,4.0,5.0,5.0,3.0,바인드
1.0,20.0,15,2.0,1.0,4.0,3.0,2.0,7.0,5.0,무인제주
1.0,20.0,12,5.0,5.0,5.0,3.0,5.0,6.0,4.0,광치기해변
0.0,20.0,7,6.0,2.0,1.0,6.0,5.0,2.0,4.0,루나피크닉
0.0,20.0,7,1.0,1.0,7.0,1.0,7.0,3.0,3.0,밧돌오름
1.0,40.0,24,2.0,3.0,5.0,3.0,2.0,6.0,2.0,서귀포치유의숲
